RUN,TEST,TP,ALPHAC,BETA,PSI,QC,RE_MAC,TEMPTS,CLWA,CDWA,CYWA,CMWA15,CMWA20,CMWA25,CMWA33,CMWA40,CNWA15,CNWA20,CNWA25,CNWA33,CNWA40,CRWA15,CRWA20,CRWA25,CRWA33,CRWA40,CLSA,CDSA,CYSA,CMSA15,CMSA20,CMSA25,CMSA33,CMSA40,CNSA15,CNSA20,CNSA25,CNSA33,CNSA40,CRSA15,CRSA20,CRSA25,CRSA33,CRSA40,CLBA,CDBA,CYBA,CMBA15,CMBA20,CMBA25,CMBA33,CMBA40,CNBA15,CNBA20,CNBA25,CNBA33,CNBA40,CRBA15,CRBA20,CRBA25,CRBA33,CRBA40,CMWA30,CMWA35,CRWA30,CRWA35,CMSA30,CMSA35,CNSA30,CNSA35,CRSA30,CRSA35,CMBA30,CMBA35,CNBA30,CNBA35,CRBA30,CRBA35,LOD
2,2128,2,-10.205,0,0,6.2937,981816,69.399,-0.35993,0.05449,-0.00101,0.05855,0.04037,0.02218,-0.00691,-0.03237,0.00013,0.00011,0.00009,0.00005,0.00002,0.00149,0.0015,0.0015,0.00151,0.00151,-0.35993,0.05449,-0.00101,0.05855,0.04037,0.02218,-0.00691,-0.03237,0.00013,0.00011,0.00009,0.00005,0.00002,0.00149,0.0015,0.0015,0.00151,0.00151,-0.36392,-0.00873,-0.00101,0.05855,0.04037,0.02218,-0.00691,-0.03237,-0.00013,-0.00015,-0.00017,-0.00021,-0.00024,0.00149,0.00149,0.00149,0.00149,0.00149,0.004,-0.01419,0.00151,0.00151,0.004,-0.01419,0.00006,0.00004,0.00151,0.00151,0.004,-0.01419,-0.0002,-0.00022,0.00149,0.00149,-6.605
2,2128,3,-8.162,0,0,6.2816,981018,69.339,-0.25745,0.03219,-0.00136,0.04335,0.03039,0.01742,-0.00332,-0.02148,0.00022,0.00019,0.00016,0.00011,0.00007,0.0014,0.0014,0.00141,0.00142,0.00142,-0.25745,0.03219,-0.00136,0.04335,0.03039,0.01742,-0.00332,-0.02148,0.00022,0.00019,0.00016,0.00011,0.00007,0.0014,0.0014,0.00141,0.00142,0.00142,-0.25942,-0.00395,-0.00136,0.04335,0.03039,0.01742,-0.00332,-0.02148,0.00003,-0.00001,-0.00004,-0.00009,-0.00013,0.00142,0.00142,0.00142,0.00142,0.00142,0.00446,-0.00851,0.00141,0.00142,0.00446,-0.00851,0.00013,0.0001,0.00141,0.00142,0.00446,-0.00851,-0.00007,-0.0001,0.00142,0.00142,-7.9976
2,2128,4,-6.141,0,0,6.2808,981060,69.293,-0.15923,0.01774,-0.00012,0.02537,0.01736,0.00935,-0.00346,-0.01467,0.00008,0.00008,0.00008,0.00007,0.00007,0.00132,0.00132,0.00132,0.00132,0.00132,-0.15923,0.01774,-0.00012,0.02537,0.01736,0.00935,-0.00346,-0.01467,0.00008,0.00008,0.00008,0.00007,0.00007,0.00132,0.00132,0.00132,0.00132,0.00132,-0.16021,0.00091,-0.00012,0.02537,0.01736,0.00935,-0.00346,-0.01467,-0.00005,-0.00006,-0.00006,-0.00007,-0.00007,0.00132,0.00132,0.00132,0.00132,0.00132,0.00135,-0.00666,0.00132,0.00132,0.00135,-0.00666,0.00008,0.00007,0.00132,0.00132,0.00135,-0.00666,-0.00006,-0.00007,0.00132,0.00132,-8.9738
2,2128,5,-3.997,0,0,6.318,984080,69.243,-0.05373,0.01056,0.00097,0.00333,0.00062,-0.0021,-0.00645,-0.01025,-0.00001,0.00001,0.00004,0.00007,0.0001,0.001,0.001,0.001,0.00099,0.00099,-0.05373,0.01056,0.00097,0.00333,0.00062,-0.0021,-0.00645,-0.01025,-0.00001,0.00001,0.00004,0.00007,0.0001,0.001,0.001,0.001,0.00099,0.00099,-0.05433,0.00684,0.00097,0.00333,0.00062,-0.0021,-0.00645,-0.01025,-0.00008,-0.00006,-0.00003,0,0.00004,0.001,0.001,0.001,0.001,0.001,-0.00482,-0.00753,0.00099,0.00099,-0.00482,-0.00753,0.00006,0.00008,0.00099,0.00099,-0.00482,-0.00753,-0.00001,0.00001,0.001,0.001,-5.0881
2,2128,6,-2.046,0,0,6.3184,984234,69.193,0.0356,0.00961,0.00152,-0.01568,-0.01391,-0.01215,-0.00933,-0.00687,-0.00001,0.00002,0.00006,0.00011,0.00016,0.00089,0.00089,0.00089,0.00089,0.00088,0.0356,0.00961,0.00152,-0.01568,-0.01391,-0.01215,-0.00933,-0.00687,-0.00001,0.00002,0.00006,0.00011,0.00016,0.00089,0.00089,0.00089,0.00089,0.00088,0.03524,0.01087,0.00152,-0.01568,-0.01391,-0.01215,-0.00933,-0.00687,-0.00005,-0.00001,0.00002,0.00008,0.00013,0.00089,0.00089,0.00089,0.00089,0.00089,-0.01039,-0.00863,0.00089,0.00089,-0.01039,-0.00863,0.00009,0.00013,0.00089,0.00089,-0.01039,-0.00863,0.00006,0.0001,0.00089,0.00089,3.7057
2,2128,7,0.08,0,0,6.3255,984881,69.154,0.13064,0.01219,0.00183,-0.0363,-0.02977,-0.02324,-0.01279,-0.00364,0.00001,0.00005,0.00009,0.00016,0.00022,0.00061,0.00061,0.00061,0.00061,0.00061,0.13064,0.01219,0.00183,-0.0363,-0.02977,-0.02324,-0.01279,-0.00364,0.00001,0.00005,0.00009,0.00016,0.00022,0.00061,0.00061,0.00061,0.00061,0.00061,0.13064,0.01213,0.00183,-0.0363,-0.02977,-0.02324,-0.01279,-0.00364,0.00001,0.00005,0.00009,0.00016,0.00022,0.00061,0.00061,0.00061,0.00061,0.00061,-0.01671,-0.01017,0.00061,0.00061,-0.01671,-0.01017,0.00013,0.00018,0.00061,0.00061,-0.01671,-0.01017,0.00013,0.00018,0.00061,0.00061,10.716
2,2128,8,2.129,0,0,6.328,985166,69.113,0.22395,0.01782,0.00165,-0.05752,-0.0463,-0.03508,-0.01713,-0.00141,0,0.00004,0.00007,0.00013,0.00019,0.00052,0.00052,0.00052,0.00052,0.00052,0.22395,0.01782,0.00165,-0.05752,-0.0463,-0.03508,-0.01713,-0.00141,0,0.00004,0.00007,0.00013,0.00019,0.00052,0.00052,0.00052,0.00052,0.00052,0.22444,0.00991,0.00165,-0.05752,-0.0463,-0.03508,-0.01713,-0.00141,0.00002,0.00005,0.00009,0.00015,0.00021,0.00052,0.00052,0.00052,0.00052,0.00052,-0.02386,-0.01264,0.00052,0.00052,-0.02386,-0.01264,0.00011,0.00015,0.00052,0.00052,-0.02386,-0.01264,0.00013,0.00017,0.00052,0.00052,12.565
2,2128,9,4.185,0,0,6.2765,981246,69.074,0.31756,0.02854,0.00139,-0.07844,-0.0625,-0.04656,-0.02107,0.00125,-0.00007,-0.00004,0,0.00005,0.00009,0.00027,0.00027,0.00027,0.00028,0.00028,0.31756,0.02854,0.00139,-0.07844,-0.0625,-0.04656,-0.02107,0.00125,-0.00007,-0.00004,0,0.00005,0.00009,0.00027,0.00027,0.00027,0.00028,0.00028,0.31878,0.00618,0.00139,-0.07844,-0.0625,-0.04656,-0.02107,0.00125,-0.00005,-0.00002,0.00002,0.00007,0.00011,0.00027,0.00027,0.00027,0.00027,0.00027,-0.03063,-0.01469,0.00027,0.00028,-0.03063,-0.01469,0.00003,0.00006,0.00027,0.00028,-0.03063,-0.01469,0.00005,0.00008,0.00027,0.00027,11.128
2,2128,10,6.193,0,0,6.2458,978912,69.045,0.4125,0.04921,0.00159,-0.09578,-0.07502,-0.05425,-0.02104,0.00804,0.00006,0.0001,0.00013,0.00019,0.00024,-0.00032,-0.00031,-0.00031,-0.0003,-0.0003,0.4125,0.04921,0.00159,-0.09578,-0.07502,-0.05425,-0.02104,0.00804,0.00006,0.0001,0.00013,0.00019,0.00024,-0.00032,-0.00031,-0.00031,-0.0003,-0.0003,0.41538,0.00598,0.00159,-0.09578,-0.07502,-0.05425,-0.02104,0.00804,0.00003,0.00006,0.0001,0.00016,0.00021,-0.00032,-0.00032,-0.00032,-0.00032,-0.00032,-0.03349,-0.01273,-0.00031,-0.0003,-0.03349,-0.01273,0.00017,0.00021,-0.00031,-0.0003,-0.03349,-0.01273,0.00014,0.00017,-0.00032,-0.00032,8.3819
2,2128,11,8.245,0,0,6.3621,988056,69.015,0.50593,0.07664,0.00244,-0.10757,-0.082,-0.05643,-0.01553,0.02027,0.00027,0.00033,0.00038,0.00047,0.00055,-0.00082,-0.00082,-0.00081,-0.0008,-0.00078,0.50593,0.07664,0.00244,-0.10757,-0.082,-0.05643,-0.01553,0.02027,0.00027,0.00033,0.00038,0.00047,0.00055,-0.00082,-0.00082,-0.00081,-0.0008,-0.00078,0.51167,0.00568,0.00244,-0.10757,-0.082,-0.05643,-0.01553,0.02027,0.00016,0.00021,0.00027,0.00036,0.00044,-0.00085,-0.00085,-0.00085,-0.00085,-0.00085,-0.03087,-0.0053,-0.0008,-0.00079,-0.03087,-0.0053,0.00044,0.0005,-0.0008,-0.00079,-0.03087,-0.0053,0.00033,0.00038,-0.00085,-0.00085,6.6015
