RUN,TEST,TP,ALPHAC,BETA,PSI,QC,RE_MAC,TEMPTS,CLWA,CDWA,CYWA,CMWA15,CMWA20,CMWA25,CMWA33,CMWA40,CNWA15,CNWA20,CNWA25,CNWA33,CNWA40,CRWA15,CRWA20,CRWA25,CRWA33,CRWA40,CLSA,CDSA,CYSA,CMSA15,CMSA20,CMSA25,CMSA33,CMSA40,CNSA15,CNSA20,CNSA25,CNSA33,CNSA40,CRSA15,CRSA20,CRSA25,CRSA33,CRSA40,CLBA,CDBA,CYBA,CMBA15,CMBA20,CMBA25,CMBA33,CMBA40,CNBA15,CNBA20,CNBA25,CNBA33,CNBA40,CRBA15,CRBA20,CRBA25,CRBA33,CRBA40,CMWA30,CMWA35,CNWA30,CNWA35,CRWA30,CRWA35,CMSA30,CMSA35,CNSA30,CNSA35,CRSA30,CRSA35,CMBA30,CMBA35,CNBA30,CNBA35,CRBA30,CRBA35,LOD
2,2298,2,-10.27,0.01,-0.01,40.324,2390382,84.374,-0.38343,0.07215,-0.00873,0.08637,0.06687,0.04737,0.0162,-0.0111,-0.0006,-0.0008,-0.001,-0.00132,-0.0016,0.00013,0.00016,0.00019,0.00025,0.0003,-0.38343,0.07215,-0.00874,0.08637,0.06687,0.04737,0.0162,-0.0111,-0.0006,-0.0008,-0.001,-0.00132,-0.0016,0.00012,0.00016,0.00019,0.00025,0.0003,-0.39014,0.00422,-0.00874,0.08637,0.06687,0.04737,0.0162,-0.0111,-0.00061,-0.00081,-0.00102,-0.00134,-0.00163,0.00001,0.00001,0.00001,0.00001,0.00001,0.02789,0.00839,-0.0012,-0.0014,0.00023,0.00026,0.02789,0.00839,-0.0012,-0.0014,0.00023,0.00026,0.02789,0.00839,-0.00122,-0.00142,0.00001,0.00001,-5.314
2,2298,3,-9.196,0.01,-0.01,40.704,2401276,84.437,-0.32585,0.05882,-0.00745,0.07365,0.05711,0.04056,0.0141,-0.00907,-0.00021,-0.00038,-0.00055,-0.00083,-0.00107,0.00007,0.0001,0.00012,0.00016,0.0002,-0.32585,0.05882,-0.00746,0.07365,0.05711,0.04056,0.0141,-0.00907,-0.00021,-0.00038,-0.00055,-0.00083,-0.00107,0.00006,0.00009,0.00012,0.00016,0.0002,-0.33104,0.00717,-0.00746,0.07365,0.05711,0.04056,0.0141,-0.00907,-0.00022,-0.00039,-0.00057,-0.00084,-0.00109,0.00003,0.00003,0.00003,0.00003,0.00003,0.02402,0.00748,-0.00073,-0.0009,0.00015,0.00017,0.02402,0.00748,-0.00073,-0.0009,0.00015,0.00017,0.02402,0.00748,-0.00074,-0.00091,0.00003,0.00003,-5.5398
2,2298,4,-8.228,0.01,-0.01,40.789,2403414,84.501,-0.2769,0.04865,-0.00682,0.06312,0.04908,0.03503,0.01257,-0.0071,0.00006,-0.00009,-0.00025,-0.0005,-0.00072,0.00015,0.00017,0.00019,0.00022,0.00025,-0.2769,0.04865,-0.00683,0.06312,0.04908,0.03503,0.01257,-0.0071,0.00006,-0.00009,-0.00025,-0.0005,-0.00072,0.00014,0.00016,0.00019,0.00022,0.00025,-0.28098,0.00941,-0.00683,0.06312,0.04908,0.03503,0.01257,-0.0071,0.00004,-0.00012,-0.00028,-0.00053,-0.00075,0.00015,0.00015,0.00015,0.00015,0.00015,0.02099,0.00695,-0.00041,-0.00057,0.00021,0.00023,0.02099,0.00695,-0.00041,-0.00057,0.00021,0.00023,0.02099,0.00695,-0.00043,-0.00059,0.00015,0.00015,-5.6912
2,2298,5,-7.152,0.01,-0.01,40.792,2403217,84.552,-0.21829,0.03872,-0.00602,0.05047,0.0394,0.02833,0.01064,-0.00486,0.00011,-0.00003,-0.00017,-0.00039,-0.00059,0.00013,0.00015,0.00016,0.00019,0.00021,-0.21829,0.03871,-0.00603,0.05047,0.0394,0.02833,0.01064,-0.00486,0.00011,-0.00003,-0.00017,-0.00039,-0.00059,0.00012,0.00014,0.00016,0.00019,0.00021,-0.22138,0.01183,-0.00603,0.05047,0.0394,0.02833,0.01064,-0.00486,0.00009,-0.00005,-0.00019,-0.00041,-0.00061,0.00014,0.00014,0.00014,0.00014,0.00014,0.01727,0.00621,-0.00031,-0.00045,0.00018,0.00019,0.01727,0.00621,-0.00031,-0.00045,0.00018,0.00019,0.01727,0.00621,-0.00033,-0.00047,0.00014,0.00014,-5.6383
2,2298,6,-6.094,0.01,-0.01,40.611,2397605,84.601,-0.16423,0.03096,-0.00549,0.03931,0.03098,0.02266,0.00934,-0.00232,0.00018,0.00006,-0.00007,-0.00028,-0.00045,0.00004,0.00005,0.00006,0.00008,0.0001,-0.16423,0.03096,-0.00549,0.03931,0.03098,0.02266,0.00934,-0.00232,0.00018,0.00006,-0.00007,-0.00028,-0.00045,0.00003,0.00005,0.00006,0.00008,0.0001,-0.16655,0.01372,-0.00549,0.03931,0.03098,0.02266,0.00934,-0.00232,0.00018,0.00005,-0.00008,-0.00028,-0.00046,0.00005,0.00005,0.00005,0.00005,0.00005,0.01433,0.00601,-0.0002,-0.00033,0.00007,0.00009,0.01433,0.00601,-0.0002,-0.00033,0.00007,0.00009,0.01433,0.00601,-0.00021,-0.00033,0.00005,0.00005,-5.305
2,2298,7,-5.098,0.01,-0.01,40.683,2399446,84.653,-0.11417,0.02551,-0.00489,0.02788,0.02208,0.01628,0.00701,-0.00111,0.00026,0.00014,0.00003,-0.00015,-0.00031,0.00012,0.00013,0.00014,0.00016,0.00017,-0.11417,0.02551,-0.0049,0.02788,0.02208,0.01628,0.00701,-0.00111,0.00026,0.00014,0.00003,-0.00015,-0.00031,0.00012,0.00013,0.00014,0.00016,0.00017,-0.11596,0.01547,-0.0049,0.02788,0.02208,0.01628,0.00701,-0.00111,0.00024,0.00013,0.00002,-0.00017,-0.00033,0.00014,0.00014,0.00014,0.00014,0.00014,0.01049,0.00469,-0.00009,-0.0002,0.00015,0.00016,0.01049,0.00469,-0.00009,-0.0002,0.00015,0.00016,0.01049,0.00469,-0.0001,-0.00021,0.00014,0.00014,-4.4756
2,2298,8,-4.031,0.01,-0.01,40.724,2400311,84.713,-0.06153,0.02199,-0.0049,0.01539,0.01224,0.0091,0.00407,-0.00033,0.00025,0.00014,0.00002,-0.00016,-0.00032,0.00025,0.00025,0.00026,0.00027,0.00028,-0.06153,0.02199,-0.00491,0.01539,0.01224,0.0091,0.00407,-0.00033,0.00025,0.00014,0.00002,-0.00016,-0.00032,0.00025,0.00025,0.00026,0.00027,0.00028,-0.0629,0.01769,-0.00491,0.01539,0.01224,0.0091,0.00407,-0.00033,0.00023,0.00012,0,-0.00018,-0.00034,0.00026,0.00026,0.00026,0.00026,0.00026,0.00596,0.00281,-0.00009,-0.00021,0.00027,0.00028,0.00596,0.00281,-0.00009,-0.00021,0.00027,0.00028,0.00596,0.00281,-0.00011,-0.00022,0.00026,0.00026,-2.7983
2,2298,9,-3.112,0.01,-0.01,40.497,2393360,84.759,-0.02149,0.02052,-0.0044,0.00609,0.00496,0.00383,0.00203,0.00045,0.00042,0.00031,0.00021,0.00005,-0.0001,0.00014,0.00014,0.00015,0.00016,0.00016,-0.02149,0.02052,-0.00441,0.00609,0.00496,0.00383,0.00203,0.00045,0.00042,0.00031,0.00021,0.00005,-0.0001,0.00014,0.00014,0.00015,0.00016,0.00016,-0.02256,0.01934,-0.00441,0.00609,0.00496,0.00383,0.00203,0.00045,0.00041,0.0003,0.0002,0.00004,-0.00011,0.00016,0.00016,0.00016,0.00016,0.00016,0.0027,0.00158,0.00011,0.00001,0.00015,0.00016,0.0027,0.00158,0.00011,0.00001,0.00015,0.00016,0.0027,0.00158,0.0001,0,0.00016,0.00016,-1.0471
2,2298,10,-1.98,0.01,-0.01,40.241,2385514,84.805,0.02858,0.01999,-0.00367,-0.00719,-0.00579,-0.0044,-0.00217,-0.00022,0.00045,0.00036,0.00027,0.00014,0.00002,0.00009,0.0001,0.0001,0.0001,0.00011,0.02858,0.01999,-0.00367,-0.00719,-0.00579,-0.0044,-0.00217,-0.00022,0.00045,0.00036,0.00027,0.00014,0.00002,0.00009,0.0001,0.0001,0.0001,0.00011,0.02788,0.02096,-0.00367,-0.00719,-0.00579,-0.0044,-0.00217,-0.00022,0.00044,0.00036,0.00027,0.00013,0.00001,0.00011,0.00011,0.00011,0.00011,0.00011,-0.003,-0.00161,0.00019,0.0001,0.0001,0.0001,-0.003,-0.00161,0.00019,0.0001,0.0001,0.0001,-0.003,-0.00161,0.00019,0.0001,0.00011,0.00011,1.4294
2,2298,11,-1.031,0.01,-0.01,40.294,2386826,84.849,0.06961,0.02043,-0.00314,-0.01816,-0.0147,-0.01124,-0.00571,-0.00086,0.0004,0.00033,0.00026,0.00014,0.00004,0,0,0,0,0.00001,0.06961,0.02043,-0.00314,-0.01816,-0.0147,-0.01124,-0.00571,-0.00086,0.0004,0.00033,0.00026,0.00014,0.00004,0,0,0,0,0.00001,0.06923,0.02169,-0.00314,-0.01816,-0.0147,-0.01124,-0.00571,-0.00086,0.0004,0.00033,0.00026,0.00014,0.00004,0.00001,0.00001,0.00001,0.00001,0.00001,-0.00778,-0.00432,0.00018,0.00011,0,0,-0.00778,-0.00432,0.00018,0.00011,0,0,-0.00778,-0.00432,0.00018,0.00011,0.00001,0.00001,3.4064
