,RUN NO.,TEST,"WT.
TARE
RUN",CONFIGURATION,TYPE OF RUN,a,Y,qnom,IB FLAP L/R,OB AIL L/R,STAB,RUD,CAN,LE IB/OB,TRIP DOTS,Nacelle Blockage L/R,Spoiler L/R,DATE
2,2.0,2298,1.0,F15+A20+W20+N20.T+V20+H20.T+C15.F(FairingCap4.6),P6,A1,0,40,0/0,0,0,0,0,Cruise,FTDEX,,,2020-09-04 00:00:00
3,3.0,2298,1.0,F15+A20+W20+N20.T+V20+H20.T+C15.F(FairingCap4.6),Y6,0,B3,40,0/0,0,0,0,0,Cruise,FTDEX,,,2020-09-04 00:00:00
4,4.0,2298,1.0,F15+A20+W20+N20.T+V20+H20.T+C15.F(FairingCap4.5),P6,A1,0,40,0/0,0,0,0,0,Cruise,FTDEX,,,2020-09-04 00:00:00
5,5.0,2298,1.0,F15+A20+W20+N20.T+V20+H20.T+C15.F(FairingCap4.5),P6,A1,5,40,0/0,0,0,0,0,Cruise,FTDEX,,,2020-09-04 00:00:00
6,6.0,2298,1.0,F15+A20+W20+N20.T+V20+H20.T+C15.F(FairingCap4.5),P6,A1,-2,40,0/0,0,0,0,0,Cruise,FTDEX,,,2020-09-04 00:00:00
7,7.0,2298,1.0,F15+A20+W20+N20.T+V20+H20.T+C15.F(FairingCap4.5),P6,A1,-5,40,0/0,0,0,0,0,Cruise,FTDEX,,,2020-09-04 00:00:00
8,8.0,2298,1.0,F15+A20+W20+N20.T+V20+H20.T+C15.F(FairingCap4.5),Y6,-5,B3,40,0/0,0,0,0,0,Cruise,FTDEX,,,2020-09-04 00:00:00
9,9.0,2298,1.0,F15+A20+W20+N20.T+V20+H20.T+C15.F(FairingCap4.5),Y6,0,B3,40,0/0,0,0,0,0,Cruise,FTDEX,,,2020-09-04 00:00:00
10,10.0,2298,1.0,F15+A20+W20+N20.T+V20+H20.T+C15.F(FairingCap4.5),Y6,5,B3,40,0/0,0,0,0,0,Cruise,FTDEX,,,2020-09-04 00:00:00
11,11.0,2298,1.0,F15+A20+W20+N20.T+V20+H20.T+C15.F(FairingCap4.5),Y6,10,B3,40,0/0,0,0,0,0,Cruise,FTDEX,,,2020-09-04 00:00:00
12,12.0,2298,1.0,F15+A20+W20+N20.T+V20+H20.T+C15.F(FairingCap4.5),Y6,15,B3,40,0/0,0,0,0,0,Cruise,FTDEX,,,2020-09-04 00:00:00
13,13.0,2298,1.0,F15+A20+W20+N20.T+V20+H20.T+C15.F(FairingCap4.5),Y6,20,B4,40,0/0,0,0,0,0,Cruise,FTDEX,,,2020-09-04 00:00:00
14,14.0,2298,1.0,F15+A20+W20+N20.T+V20+H20.T+C15.F(FairingCap4.5),Y6,25,B4,40,0/0,0,0,0,0,Cruise,FTDEX,,,2020-09-04 00:00:00
15,15.0,2298,1.0,F15+A20+W20+N20.T+V20+H20.T+C15.F(FairingCap4.5),Y6,30,B4,40,0/0,0,0,0,0,Cruise,FTDEX,,,2020-09-04 00:00:00
17,17.0,2298,16.0,F15+A20+W20+N20.T+V20+H20.T,P6,A1,0,40,0/0,0,0,0,,Cruise,FTDEX,,,2020-09-04 00:00:00
19,19.0,2298,18.0,F15+A20+W20+N20.T+V20,P6,A1,0,40,0/0,0,,0,,Cruise,FTDEX,,,2020-09-04 00:00:00
21,21.0,2298,20.0,F15+A15+W20+N20.B+V15,P6,A1,0,40,0/0,0,,0,,Cruise,FTDEX,,,2020-09-08 00:00:00
23,23.0,2298,22.0,F15+A15+W20+N20.B+V15+H20.L,P6,A1,0,40,0/0,0,0,0,,Cruise,FTDEX,,,2020-09-08 00:00:00
25,25.0,2298,24.0,F15+A15+W20+N20.B+V15+H20.L+C15.F,P6,A1,0,40,0/0,0,0,0,0,Cruise,FTDEX,,,2020-09-08 00:00:00
26,26.0,2298,24.0,F15+A15+W20+N20.B+V15+H20.L+C15.F,P6,A1,5,40,0/0,0,0,0,0,Cruise,FTDEX,,,2020-09-08 00:00:00
27,27.0,2298,24.0,F15+A15+W20+N20.B+V15+H20.L+C15.F,P6,A1,-2,40,0/0,0,0,0,0,Cruise,FTDEX,,,2020-09-08 00:00:00
28,28.0,2298,24.0,F15+A15+W20+N20.B+V15+H20.L+C15.F,P6,A1,-5,40,0/0,0,0,0,0,Cruise,FTDEX,,,2020-09-08 00:00:00
29,29.0,2298,24.0,F15+A15+W20+N20.B+V15+H20.L+C15.F,Y6,-5,B3,40,0/0,0,0,0,0,Cruise,FTDEX,,,2020-09-08 00:00:00
30,30.0,2298,24.0,F15+A15+W20+N20.B+V15+H20.L+C15.F,Y6,0,B3,40,0/0,0,0,0,0,Cruise,FTDEX,,,2020-09-08 00:00:00
